,RGIId_Full,x,y,elevation,dh1,void_mask,Area,Zmin,Zmed,Zmax,Slope,dc_ratio,HI,sin_Aspect,cos_Aspect
0,RGI60-15.03230,88.28388887800361,27.504722233220644,5379.20947266,-0.218178540468216,False,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
1,RGI60-15.03230,88.28361110022583,27.504444455442894,5393.2578125,-0.173417508602142,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
2,RGI60-15.03230,88.28388887800361,27.504444455442894,5373.86376953,-0.230269566178322,False,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
3,RGI60-15.03230,88.28416665578139,27.504444455442894,5356.98535156,-0.494024336338043,False,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
4,RGI60-15.03230,88.28305554467026,27.504166677665143,5404.99804688,-0.566470861434937,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
5,RGI60-15.03230,88.28333332244804,27.504166677665143,5393.17871094,-0.308538168668747,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
6,RGI60-15.03230,88.28361110022583,27.504166677665143,5382.61474609,-0.308538168668747,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
7,RGI60-15.03230,88.28388887800361,27.504166677665143,5368.00537109,-0.251581162214279,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
8,RGI60-15.03230,88.28416665578139,27.504166677665143,5354.53808594,-0.340121567249298,False,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
9,RGI60-15.03230,88.28277776689248,27.503888899887396,5391.07568359,-0.899742305278778,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
10,RGI60-15.03230,88.28305554467026,27.503888899887396,5389.98730469,-0.794384181499481,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
11,RGI60-15.03230,88.28333332244804,27.503888899887396,5381.60302734,-0.395415604114532,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
12,RGI60-15.03230,88.28361110022583,27.503888899887396,5374.09521484,-0.395415604114532,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
13,RGI60-15.03230,88.28388887800361,27.503888899887396,5364.03955078,-0.196450546383858,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
14,RGI60-15.03230,88.28416665578139,27.503888899887396,5355.07617188,-0.134956404566765,True,0.298,5048,5268,5393,24.7,0.1298657718120805,-1.7599999999999998,-0.8090169943749473,-0.5877852522924732
